alignment,beat_of_occurrence,crash_date,crash_day_of_week,crash_hour,crash_month,crash_type,damage,device_condition,first_crash_type,hit_and_run_i,injuries_fatal,injuries_incapacitating,injuries_no_indication,injuries_non_incapacitating,injuries_reported_not_evident,injuries_total,injuries_unknown,latitude,lighting_condition,longitude,most_severe_injury,num_units,posted_speed_limit,prim_contributory_cause,road_defect,roadway_surface_cond,sec_contributory_cause,street_direction,street_no,traffic_control_device,trafficway_type,weather_condition,crash_date_est_i,intersection_related_i,work_zone_i,dooring_i,private_property_i,veh_count,ppl_count,veh_first_contact_point_list_json,veh_make_list_json,veh_maneuver_list_json,veh_model_list_json,veh_towed_i_list_json,ppl_age_list_json,ppl_airbag_deployed_list_json,ppl_ejection_list_json,ppl_injury_classification_list_json,year,month,day,hour,is_weekend,hour_bin,lat_bin,lng_bin,grid_id,veh_truck_i,veh_mc_i,ppl_age_mean,ppl_age_min,ppl_age_max,cause_group
STRAIGHT AND LEVEL,815,2025-09-21 20:48:00,1,20,9,injury and / or tow due to crash,"OVER $1,500",NO CONTROLS,PARKED MOTOR VEHICLE,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,41.798759983,"darkness, lighted road",-87.7293830898,NO INDICATION OF INJURY,4,20,IMPROPER LANE USAGE,NO DEFECTS,dry,UNABLE TO DETERMINE,W,4230,no controls,NOT DIVIDED,clear,,,,,,5,0,"[""FRONT-LEFT-CORNER"", ""SIDE-LEFT""]","[""CHEVROLET"", ""DODGE"", ""HONDA"", ""OLDSMOBILE""]","[""PARKED"", ""STRAIGHT AHEAD""]","[""CIVIC"", ""DURANGO"", ""EIGHTY-EIGHT"", ""SUBURBAN""]","[""Y""]",[],"[""DEPLOYMENT UNKNOWN""]","[""NONE""]","[""NO INDICATION OF INJURY""]",2025,9,21,20,1,evening,41.8,-87.73,41.8_-87.73,0,0,,,,Other
STRAIGHT AND LEVEL,1214,2025-09-24 00:23:00,4,0,9,injury and / or tow due to crash,"OVER $1,500",NO CONTROLS,TURNING,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,41.885805743,"darkness, lighted road",-87.6443022139,NO INDICATION OF INJURY,2,30,IMPROPER TURNING/NO SIGNAL,NO DEFECTS,dry,NOT APPLICABLE,W,640,no controls,CENTER TURN LANE,clear,,,,,,4,1,"[""REAR-LEFT-CORNER"", ""UNKNOWN""]","[""BUICK"", ""FORD""]","[""STRAIGHT AHEAD"", ""TURNING LEFT""]","[""REGAL"", ""TAURUS""]","[""Y""]","[""17""]","[""DEPLOYED, COMBINATION"", ""DEPLOYMENT UNKNOWN""]","[""NONE""]","[""NO INDICATION OF INJURY""]",2025,9,24,0,0,night,41.89,-87.64,41.89_-87.64,0,0,17.0,17.0,17.0,Other
STRAIGHT AND LEVEL,922,2025-09-19 06:17:00,6,6,9,no injury / drive away,"$501 - $1,500",NO CONTROLS,PEDALCYCLIST,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,41.8147445587,daylight,-87.6857315949,NO INDICATION OF INJURY,2,15,UNABLE TO DETERMINE,NO DEFECTS,dry,UNABLE TO DETERMINE,S,4331,no controls,ALLEY,clear,,,,,,2,1,"[""SIDE-LEFT""]","[""TOYOTA""]","[""STRAIGHT AHEAD""]","[""RAV4""]",[],"[""26""]","[""NOT APPLICABLE""]","[""NONE""]","[""NO INDICATION OF INJURY""]",2025,9,19,6,0,night,41.81,-87.69,41.81_-87.69,0,0,26.0,26.0,26.0,Other
STRAIGHT AND LEVEL,432,2025-09-20 23:26:00,7,23,9,injury and / or tow due to crash,"OVER $1,500",NO CONTROLS,FIXED OBJECT,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,41.7223164717,"darkness, lighted road",-87.5332347334,NO INDICATION OF INJURY,1,30,UNABLE TO DETERMINE,NO DEFECTS,wet,UNABLE TO DETERMINE,E,3730,no controls,NOT DIVIDED,clear,,,,,,2,0,"[""FRONT""]","[""CHEVROLET""]","[""STRAIGHT AHEAD""]","[""SILVERADO""]","[""Y""]",[],"[""DEPLOYED, FRONT""]","[""NONE""]","[""NO INDICATION OF INJURY""]",2025,9,20,23,1,evening,41.72,-87.53,41.72_-87.53,0,0,,,,Other
STRAIGHT AND LEVEL,923,2025-09-21 21:32:00,1,21,9,no injury / drive away,"OVER $1,500",FUNCTIONING PROPERLY,TURNING,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,41.7954227598,darkness,-87.6939923565,NO INDICATION OF INJURY,2,30,FAILING TO YIELD RIGHT-OF-WAY,NO DEFECTS,dry,NOT APPLICABLE,S,5400,stop sign/flasher,FOUR WAY,clear,,1.0,,,,3,1,"[""FRONT-RIGHT-CORNER"", ""UNKNOWN""]","[""HONDA"", ""NISSAN""]","[""STRAIGHT AHEAD"", ""U-TURN""]","[""OTHER (EXPLAIN IN NARRATIVE)""]",[],"[""38""]","[""DEPLOYMENT UNKNOWN"", ""NOT APPLICABLE""]","[""NONE"", ""UNKNOWN""]","[""NO INDICATION OF INJURY""]",2025,9,21,21,1,evening,41.8,-87.69,41.8_-87.69,0,0,38.0,38.0,38.0,Failure-to-Yield
STRAIGHT AND LEVEL,433,2025-09-19 22:30:00,6,22,9,no injury / drive away,"OVER $1,500",NO CONTROLS,PARKED MOTOR VEHICLE,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,41.6884236349,"darkness, lighted road",-87.537548042,NO INDICATION OF INJURY,3,30,UNABLE TO DETERMINE,NO DEFECTS,dry,NOT APPLICABLE,S,11355,no controls,ONE-WAY,clear,1.0,,,,,5,0,"[""OTHER"", ""REAR-LEFT-CORNER"", ""UNKNOWN""]","[""JEEP"", ""NISSAN"", ""UNKNOWN""]","[""PARKED"", ""UNKNOWN/NA""]","[""ALTIMA"", ""OTHER (EXPLAIN IN NARRATIVE)"", ""PATRIOT""]",[],[],"[""DEPLOYMENT UNKNOWN""]","[""UNKNOWN""]","[""NO INDICATION OF INJURY""]",2025,9,19,22,0,evening,41.69,-87.54,41.69_-87.54,0,0,,,,Other
STRAIGHT AND LEVEL,1411,2025-09-23 03:45:00,3,3,9,injury and / or tow due to crash,"OVER $1,500",NO CONTROLS,PARKED MOTOR VEHICLE,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,41.9321886591,"darkness, lighted road",-87.7001357251,NO INDICATION OF INJURY,2,30,UNABLE TO DETERMINE,NO DEFECTS,dry,NOT APPLICABLE,W,2900,no controls,NOT DIVIDED,clear,1.0,,,,,4,1,"[""FRONT-RIGHT-CORNER"", ""UNKNOWN""]","[""CHEVROLET"", ""FORD""]","[""PARKED"", ""UNKNOWN/NA""]","[""FUSION"", ""VOLT""]","[""Y""]","[""30""]","[""DEPLOYMENT UNKNOWN""]","[""NONE""]","[""NO INDICATION OF INJURY""]",2025,9,23,3,0,night,41.93,-87.7,41.93_-87.7,0,0,30.0,30.0,30.0,Other
STRAIGHT AND LEVEL,1034,2025-09-24 12:00:00,4,12,9,no injury / drive away,"OVER $1,500",FUNCTIONING PROPERLY,REAR END,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,41.8492570164,daylight,-87.6857056767,NO INDICATION OF INJURY,2,25,UNABLE TO DETERMINE,,dry,UNABLE TO DETERMINE,S,2330,traffic signal,DIVIDED - W/MEDIAN (NOT RAISED),clear,,,,,,4,1,"[""FRONT"", ""REAR""]","[""CHRYSLER"", ""VOLKSWAGEN""]","[""UNKNOWN/NA""]","[""JETTA"", ""TOWN & COUNTRY""]",[],"[""31""]","[""DEPLOYMENT UNKNOWN"", ""DID NOT DEPLOY""]","[""NONE"", ""UNKNOWN""]","[""NO INDICATION OF INJURY""]",2025,9,24,12,0,morning,41.85,-87.69,41.85_-87.69,1,0,31.0,31.0,31.0,Other
STRAIGHT AND LEVEL,1824,2025-09-22 18:10:00,2,18,9,no injury / drive away,"OVER $1,500",NO CONTROLS,SIDESWIPE SAME DIRECTION,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,41.9040223592,daylight,-87.6251604244,NO INDICATION OF INJURY,2,45,IMPROPER OVERTAKING/PASSING,,dry,NOT APPLICABLE,N,1200,no controls,OTHER,clear,1.0,,,,,4,1,"[""FRONT-LEFT-CORNER"", ""SIDE-RIGHT""]","[""FORD"", ""LINCOLN""]","[""CHANGING LANES"", ""STRAIGHT AHEAD""]","[""ESCAPE"", ""MKX""]",[],"[""55""]","[""DEPLOYMENT UNKNOWN"", ""NOT APPLICABLE""]","[""NONE""]","[""NO INDICATION OF INJURY""]",2025,9,22,18,0,afternoon,41.9,-87.63,41.9_-87.63,0,0,55.0,55.0,55.0,Other
STRAIGHT AND LEVEL,413,2025-09-22 08:00:00,2,8,9,no injury / drive away,"OVER $1,500",NO CONTROLS,SIDESWIPE SAME DIRECTION,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,41.7277958023,daylight,-87.5828180237,NO INDICATION OF INJURY,2,30,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,NO DEFECTS,,NOT APPLICABLE,S,9200,no controls,ONE-WAY,,,,,,,4,1,"[""SIDE-LEFT-FRONT"", ""SIDE-RIGHT""]","[""CHEVROLET"", ""KIA""]","[""PASSING/OVERTAKING"", ""SLOW/STOP IN TRAFFIC""]","[""OTHER (EXPLAIN IN NARRATIVE)"", ""TRAX""]",[],"[""55""]","[""DEPLOYMENT UNKNOWN"", ""DID NOT DEPLOY""]","[""NONE""]","[""NO INDICATION OF INJURY""]",2025,9,22,8,0,morning,41.73,-87.58,41.73_-87.58,0,0,55.0,55.0,55.0,Other
